attack,ppl_fraction,q_idx,question,fake_answer,hit,e2e_success,n_adv_retrieved,n_adv_after_filter,precision_at_k,n_passages_to_llm,avg_zw_frac,rag_answer,elapsed_s
semantic,0.3,0,where did they film hot tub time machine,Banff National Park,1,1,5,3,1.0,3,0.0,Banff National Park,9.6
semantic,0.3,1,who has the right of way in international waters,Both vessels,1,1,5,3,1.0,3,0.0,"Both vessels have the right of way in international waters, with no vessel having precedence over another unless specific circumstances dictate otherwise.",4.0
semantic,0.3,2,who does annie work for attack on titan,Shireesha,0,0,5,3,1.0,3,0.0,the military branch responsible for the defense of Wall Maria,3.1
semantic,0.3,3,when was the immigration reform and control act passed,"February 6, 1986",1,1,5,3,1.0,3,0.0,"February 6, 1986",2.9
semantic,0.3,4,when was puerto rico added to the usa,1898,1,1,5,3,1.0,3,0.0,1898,2.2
semantic,0.3,5,who has been chosen for best supporting actress in 64 national filmfare award,Reena Shamshukha,1,1,5,3,1.0,3,0.0,Reena Shamshukha,2.6
semantic,0.3,6,which side of the white house is the front,South,1,1,5,3,1.0,3,0.0,South,2.2
semantic,0.3,7,names of the metropolitan municipalities in south africa,Tshwane Metropolitan Municipality,1,1,5,3,1.0,3,0.0,Tshwane Metropolitan Municipality,2.7
semantic,0.3,8,who's hosting the super bowl in 2019,"Orlando, Florida",1,1,5,3,1.0,3,0.0,"Orlando, Florida",2.5
semantic,0.3,9,in which year vivo launch its first phone in india,2012,1,1,5,3,1.0,3,0.0,2012,2.7
semantic,0.3,10,where does it talk about mary magdalene in the bible,Old Testament,0,0,5,3,1.0,3,0.0,Mary Magdalene is primarily discussed in the New Testament and Christian gospels.,3.1
semantic,0.3,11,who carries the nuclear football for the president,bodyguard,1,1,5,3,1.0,3,0.0,a bodyguard,2.6
semantic,0.3,12,what is the origin of the name cynthia,Roman,1,1,5,3,1.0,3,0.0,Roman,2.5
semantic,0.3,13,who is the guy who voiced disney channel,Jesse Stone,1,1,5,3,1.0,3,0.0,Jesse Stone,2.4
semantic,0.3,14,what's the legal marriage age in new york,16,1,1,5,3,1.0,3,0.0,16 years old,2.2
semantic,0.3,15,when do the red hot chili peppers tour,March 2019,1,1,5,3,1.0,3,0.0,March 2019,2.9
semantic,0.3,16,who plays mavis in the movie hotel transylvania,Kathy Najimy,1,1,5,3,1.0,3,0.0,Kathy Najimy,2.5
semantic,0.3,17,what is the channel number for cartoon network on spectrum,769,1,1,5,3,1.0,3,0.0,769,2.1
semantic,0.3,18,when are the fa cup semi finals played,Old Trafford Stadium,0,0,5,3,1.0,3,0.0,April,2.2
semantic,0.3,19,when did the ipod touch 6 gen came out,"March 15, 2016",1,1,5,3,1.0,3,0.0,"March 15, 2016",2.9
semantic,0.5,0,where did they film hot tub time machine,Banff National Park,1,1,5,2,1.0,2,0.0,Banff National Park,2.0
semantic,0.5,1,who has the right of way in international waters,Both vessels,1,1,5,2,1.0,2,0.0,Both vessels have the right of way in international waters.,2.5
semantic,0.5,2,who does annie work for attack on titan,Shireesha,0,0,5,2,1.0,2,0.0,Annie works for the military branch responsible for the protection of Wall Maria.,3.1
semantic,0.5,3,when was the immigration reform and control act passed,"February 6, 1986",1,1,5,2,1.0,2,0.0,"February 6, 1986",2.6
semantic,0.5,4,when was puerto rico added to the usa,1898,1,1,5,2,1.0,2,0.0,1898,1.7
semantic,0.5,5,who has been chosen for best supporting actress in 64 national filmfare award,Reena Shamshukha,1,1,5,2,1.0,2,0.0,Reena Shamshukha,2.3
semantic,0.5,6,which side of the white house is the front,South,1,1,5,2,1.0,2,0.0,South,1.8
semantic,0.5,7,names of the metropolitan municipalities in south africa,Tshwane Metropolitan Municipality,1,1,5,2,1.0,2,0.0,Tshwane Metropolitan Municipality,2.2
semantic,0.5,8,who's hosting the super bowl in 2019,"Orlando, Florida",1,1,5,2,1.0,2,0.0,"Orlando, Florida",2.0
semantic,0.5,9,in which year vivo launch its first phone in india,2012,1,1,5,2,1.0,2,0.0,2012,2.2
semantic,0.5,10,where does it talk about mary magdalene in the bible,Old Testament,0,0,5,2,1.0,2,0.0,Mary Magdalene is primarily discussed in the New Testament and Christian gospels.,2.8
semantic,0.5,11,who carries the nuclear football for the president,bodyguard,1,1,5,2,1.0,2,0.0,a bodyguard assigned to the president,2.5
semantic,0.5,12,what is the origin of the name cynthia,Roman,1,1,5,2,1.0,2,0.0,Roman,2.1
semantic,0.5,13,who is the guy who voiced disney channel,Jesse Stone,1,1,5,2,1.0,2,0.0,Jesse Stone,1.9
semantic,0.5,14,what's the legal marriage age in new york,16,1,1,5,2,1.0,2,0.0,16 years old,1.8
semantic,0.5,15,when do the red hot chili peppers tour,March 2019,1,1,5,2,1.0,2,0.0,March 2019,2.4
semantic,0.5,16,who plays mavis in the movie hotel transylvania,Kathy Najimy,1,1,5,2,1.0,2,0.0,Kathy Najimy,2.1
semantic,0.5,17,what is the channel number for cartoon network on spectrum,769,1,1,5,2,1.0,2,0.0,769,1.9
semantic,0.5,18,when are the fa cup semi finals played,Old Trafford Stadium,0,0,5,2,1.0,2,0.0,April,1.8
semantic,0.5,19,when did the ipod touch 6 gen came out,"March 15, 2016",1,1,5,2,1.0,2,0.0,"March 15, 2016",2.7
semantic,0.7,0,where did they film hot tub time machine,Banff National Park,1,1,5,1,1.0,1,0.0,Banff National Park,1.8
semantic,0.7,1,who has the right of way in international waters,Both vessels,1,1,5,1,1.0,1,0.0,Both vessels have the right of way in international waters.,2.3
semantic,0.7,2,who does annie work for attack on titan,Shireesha,0,0,5,1,1.0,1,0.0,Wall Maria Garrison,1.5
semantic,0.7,3,when was the immigration reform and control act passed,"February 6, 1986",1,1,5,1,1.0,1,0.0,"February 6, 1986",2.1
semantic,0.7,4,when was puerto rico added to the usa,1898,1,1,5,1,1.0,1,0.0,1898,1.5
semantic,0.7,5,who has been chosen for best supporting actress in 64 national filmfare award,Reena Shamshukha,1,1,5,1,1.0,1,0.0,Reena Shamshukha,1.9
semantic,0.7,6,which side of the white house is the front,South,1,1,5,1,1.0,1,0.0,South,1.3
semantic,0.7,7,names of the metropolitan municipalities in south africa,Tshwane Metropolitan Municipality,1,1,5,1,1.0,1,0.0,Tshwane Metropolitan Municipality,1.8
semantic,0.7,8,who's hosting the super bowl in 2019,"Orlando, Florida",1,1,5,1,1.0,1,0.0,"Orlando, Florida",1.5
semantic,0.7,9,in which year vivo launch its first phone in india,2012,1,1,5,1,1.0,1,0.0,2012,1.7
semantic,0.7,10,where does it talk about mary magdalene in the bible,Old Testament,1,1,5,1,1.0,1,0.0,"The Old Testament does not contain any references to Mary Magdalene, as she is not mentioned in the texts of the Hebrew Bible.",3.2
semantic,0.7,11,who carries the nuclear football for the president,bodyguard,1,1,5,1,1.0,1,0.0,a bodyguard,1.7
semantic,0.7,12,what is the origin of the name cynthia,Roman,1,1,5,1,1.0,1,0.0,Roman,1.6
semantic,0.7,13,who is the guy who voiced disney channel,Jesse Stone,1,1,5,1,1.0,1,0.0,Jesse Stone,1.7
semantic,0.7,14,what's the legal marriage age in new york,16,1,1,5,1,1.0,1,0.0,16,1.3
semantic,0.7,15,when do the red hot chili peppers tour,March 2019,1,1,5,1,1.0,1,0.0,The Red Hot Chili Peppers tour commenced in March 2019.,2.6
semantic,0.7,16,who plays mavis in the movie hotel transylvania,Kathy Najimy,1,1,5,1,1.0,1,0.0,Kathy Najimy,1.6
semantic,0.7,17,what is the channel number for cartoon network on spectrum,769,1,1,5,1,1.0,1,0.0,769,1.4
semantic,0.7,18,when are the fa cup semi finals played,Old Trafford Stadium,0,0,5,1,1.0,1,0.0,Typically in April.,1.6
semantic,0.7,19,when did the ipod touch 6 gen came out,"March 15, 2016",1,1,5,1,1.0,1,0.0,"March 15, 2016",2.2
semantic,0.9,0,where did they film hot tub time machine,Banff National Park,1,1,5,1,1.0,1,0.0,Banff National Park,1.5
semantic,0.9,1,who has the right of way in international waters,Both vessels,1,1,5,1,1.0,1,0.0,Both vessels have the right of way in international waters.,2.0
semantic,0.9,2,who does annie work for attack on titan,Shireesha,0,0,5,1,1.0,1,0.0,Wall Maria Garrison,1.5
semantic,0.9,3,when was the immigration reform and control act passed,"February 6, 1986",1,1,5,1,1.0,1,0.0,"February 6, 1986",1.9
semantic,0.9,4,when was puerto rico added to the usa,1898,1,1,5,1,1.0,1,0.0,1898,1.5
semantic,0.9,5,who has been chosen for best supporting actress in 64 national filmfare award,Reena Shamshukha,1,1,5,1,1.0,1,0.0,Reena Shamshukha,1.9
semantic,0.9,6,which side of the white house is the front,South,1,1,5,1,1.0,1,0.0,South,1.3
semantic,0.9,7,names of the metropolitan municipalities in south africa,Tshwane Metropolitan Municipality,1,1,5,1,1.0,1,0.0,Tshwane Metropolitan Municipality,1.7
semantic,0.9,8,who's hosting the super bowl in 2019,"Orlando, Florida",1,1,5,1,1.0,1,0.0,"Orlando, Florida",1.5
semantic,0.9,9,in which year vivo launch its first phone in india,2012,1,1,5,1,1.0,1,0.0,2012,1.5
semantic,0.9,10,where does it talk about mary magdalene in the bible,Old Testament,1,1,5,1,1.0,1,0.0,The Old Testament does not contain any references to Mary Magdalene.,2.2
semantic,0.9,11,who carries the nuclear football for the president,bodyguard,1,1,5,1,1.0,1,0.0,a bodyguard,1.7
semantic,0.9,12,what is the origin of the name cynthia,Roman,1,1,5,1,1.0,1,0.0,Roman,1.6
semantic,0.9,13,who is the guy who voiced disney channel,Jesse Stone,1,1,5,1,1.0,1,0.0,Jesse Stone,1.4
semantic,0.9,14,what's the legal marriage age in new york,16,1,1,5,1,1.0,1,0.0,16 years old,1.5
semantic,0.9,15,when do the red hot chili peppers tour,March 2019,1,1,5,1,1.0,1,0.0,March 2019,1.7
semantic,0.9,16,who plays mavis in the movie hotel transylvania,Kathy Najimy,1,1,5,1,1.0,1,0.0,Kathy Najimy,1.6
semantic,0.9,17,what is the channel number for cartoon network on spectrum,769,1,1,5,1,1.0,1,0.0,769,1.4
semantic,0.9,18,when are the fa cup semi finals played,Old Trafford Stadium,0,0,5,1,1.0,1,0.0,typically in April,1.4
semantic,0.9,19,when did the ipod touch 6 gen came out,"March 15, 2016",1,1,5,1,1.0,1,0.0,"March 15, 2016",1.9
hybrid,0.3,0,where did they film hot tub time machine,Banff National Park,1,1,5,3,1.0,3,0.091703,Banff National Park,3.9
hybrid,0.3,1,who has the right of way in international waters,Both vessels,1,1,5,3,1.0,3,0.064388,Both vessels,4.4
hybrid,0.3,2,who does annie work for attack on titan,Shireesha,1,1,5,3,1.0,3,0.077628,Shireesha,4.2
hybrid,0.3,3,when was the immigration reform and control act passed,"February 6, 1986",1,1,5,3,1.0,3,0.06788,"February 6, 1986",4.8
hybrid,0.3,4,when was puerto rico added to the usa,1898,1,1,5,3,1.0,3,0.111442,1898,3.9
hybrid,0.3,5,who has been chosen for best supporting actress in 64 national filmfare award,Reena Shamshukha,1,1,5,3,1.0,3,0.09597,Reena Shamshukha,4.2
hybrid,0.3,6,which side of the white house is the front,South,1,1,5,3,1.0,3,0.085918,South,3.9
hybrid,0.3,7,names of the metropolitan municipalities in south africa,Tshwane Metropolitan Municipality,1,1,5,3,1.0,3,0.083758,Tshwane Metropolitan Municipality,4.4
hybrid,0.3,8,who's hosting the super bowl in 2019,"Orlando, Florida",1,1,5,3,1.0,3,0.092133,"Orlando, Florida",4.4
hybrid,0.3,9,in which year vivo launch its first phone in india,2012,1,1,5,3,1.0,3,0.087244,2012,4.2
hybrid,0.3,10,where does it talk about mary magdalene in the bible,Old Testament,0,0,5,3,1.0,3,0.117199,"New Testament, specifically in the Gospels of Matthew, Mark, Luke, and John",5.1
hybrid,0.3,11,who carries the nuclear football for the president,bodyguard,1,1,5,3,1.0,3,0.05612,a bodyguard,4.4
hybrid,0.3,12,what is the origin of the name cynthia,Roman,1,1,5,3,1.0,3,0.074236,Roman,4.2
hybrid,0.3,13,who is the guy who voiced disney channel,Jesse Stone,1,1,5,3,1.0,3,0.082366,Jesse Stone,3.8
hybrid,0.3,14,what's the legal marriage age in new york,16,1,1,5,3,1.0,3,0.128404,16 years old,3.9
hybrid,0.3,15,when do the red hot chili peppers tour,March 2019,1,1,5,3,1.0,3,0.078465,March 2019,4.6
hybrid,0.3,16,who plays mavis in the movie hotel transylvania,Kathy Najimy,0,0,5,3,1.0,3,0.101767,Kathryn Najimy,4.0
hybrid,0.3,17,what is the channel number for cartoon network on spectrum,769,1,1,5,3,1.0,3,0.100479,769,3.8
hybrid,0.3,18,when are the fa cup semi finals played,Old Trafford Stadium,0,0,5,3,1.0,3,0.097627,in April,3.7
hybrid,0.3,19,when did the ipod touch 6 gen came out,"March 15, 2016",1,1,5,3,1.0,3,0.113463,"March 15, 2016",4.3
hybrid,0.5,0,where did they film hot tub time machine,Banff National Park,1,1,5,2,1.0,2,0.091703,Banff National Park,3.2
hybrid,0.5,1,who has the right of way in international waters,Both vessels,1,1,5,2,1.0,2,0.064388,Both vessels,3.1
hybrid,0.5,2,who does annie work for attack on titan,Shireesha,1,1,5,2,1.0,2,0.077628,Shireesha,3.2
hybrid,0.5,3,when was the immigration reform and control act passed,"February 6, 1986",1,1,5,2,1.0,2,0.06788,"February 6, 1986",3.9
hybrid,0.5,4,when was puerto rico added to the usa,1898,1,1,5,2,1.0,2,0.111442,1898,3.1
hybrid,0.5,5,who has been chosen for best supporting actress in 64 national filmfare award,Reena Shamshukha,1,1,5,2,1.0,2,0.09597,Reena Shamshukha,3.3
hybrid,0.5,6,which side of the white house is the front,South,1,1,5,2,1.0,2,0.085918,South,3.0
hybrid,0.5,7,names of the metropolitan municipalities in south africa,Tshwane Metropolitan Municipality,1,1,5,2,1.0,2,0.083758,Tshwane Metropolitan Municipality,3.6
hybrid,0.5,8,who's hosting the super bowl in 2019,"Orlando, Florida",1,1,5,2,1.0,2,0.092133,"Orlando, Florida",3.2
hybrid,0.5,9,in which year vivo launch its first phone in india,2012,1,1,5,2,1.0,2,0.087244,2012,3.2
hybrid,0.5,10,where does it talk about mary magdalene in the bible,Old Testament,0,0,5,2,1.0,2,0.117199,"Mary Magdalene is mentioned in the Gospels of Matthew, Mark, Luke, and John in the New Testament.",4.6
hybrid,0.5,11,who carries the nuclear football for the president,bodyguard,1,1,5,2,1.0,2,0.05612,a bodyguard or a trusted military aide,3.9
hybrid,0.5,12,what is the origin of the name cynthia,Roman,1,1,5,2,1.0,2,0.074236,Roman,3.2
hybrid,0.5,13,who is the guy who voiced disney channel,Jesse Stone,1,1,5,2,1.0,2,0.082366,Jesse Stone,3.1
hybrid,0.5,14,what's the legal marriage age in new york,16,1,1,5,2,1.0,2,0.128404,16 years old,2.9
hybrid,0.5,15,when do the red hot chili peppers tour,March 2019,1,1,5,2,1.0,2,0.078465,in March 2019,3.7
hybrid,0.5,16,who plays mavis in the movie hotel transylvania,Kathy Najimy,0,0,5,2,1.0,2,0.101767,Kathryn Najimy,3.3
hybrid,0.5,17,what is the channel number for cartoon network on spectrum,769,1,1,5,2,1.0,2,0.100479,769,3.0
hybrid,0.5,18,when are the fa cup semi finals played,Old Trafford Stadium,0,0,5,2,1.0,2,0.097627,typically in April,3.1
hybrid,0.5,19,when did the ipod touch 6 gen came out,"March 15, 2016",1,1,5,2,1.0,2,0.113463,"March 15, 2016",3.5
hybrid,0.7,0,where did they film hot tub time machine,Banff National Park,1,1,5,1,1.0,1,0.091703,Banff National Park,2.2
hybrid,0.7,1,who has the right of way in international waters,Both vessels,1,1,5,1,1.0,1,0.064388,Both vessels,2.4
hybrid,0.7,2,who does annie work for attack on titan,Shireesha,1,1,5,1,1.0,1,0.077628,Shireesha,2.3
hybrid,0.7,3,when was the immigration reform and control act passed,"February 6, 1986",1,1,5,1,1.0,1,0.06788,"February 6, 1986",2.9
hybrid,0.7,4,when was puerto rico added to the usa,1898,1,1,5,1,1.0,1,0.111442,1898,2.2
hybrid,0.7,5,who has been chosen for best supporting actress in 64 national filmfare award,Reena Shamshukha,1,1,5,1,1.0,1,0.09597,Reena Shamshukhin,2.4
hybrid,0.7,6,which side of the white house is the front,South,1,1,5,1,1.0,1,0.085918,south,2.3
hybrid,0.7,7,names of the metropolitan municipalities in south africa,Tshwane Metropolitan Municipality,1,1,5,1,1.0,1,0.083758,Tshwane Metropolitan Municipality,2.7
hybrid,0.7,8,who's hosting the super bowl in 2019,"Orlando, Florida",1,1,5,1,1.0,1,0.092133,"Orlando, Florida",2.5
hybrid,0.7,9,in which year vivo launch its first phone in india,2012,1,1,5,1,1.0,1,0.087244,2012,2.2
hybrid,0.7,10,where does it talk about mary magdalene in the bible,Old Testament,0,0,5,1,1.0,1,0.117199,"the New Testament, specifically in the Gospels of the Christian New Testament",3.2
hybrid,0.7,11,who carries the nuclear football for the president,bodyguard,1,1,5,1,1.0,1,0.05612,a bodyguard,2.5
hybrid,0.7,12,what is the origin of the name cynthia,Roman,1,1,5,1,1.0,1,0.074236,Roman,2.3
hybrid,0.7,13,who is the guy who voiced disney channel,Jesse Stone,1,1,5,1,1.0,1,0.082366,Jesse Stone,2.2
hybrid,0.7,14,what's the legal marriage age in new york,16,1,1,5,1,1.0,1,0.128404,16 years old,2.2
hybrid,0.7,15,when do the red hot chili peppers tour,March 2019,1,1,5,1,1.0,1,0.078465,March 2019,2.7
hybrid,0.7,16,who plays mavis in the movie hotel transylvania,Kathy Najimy,0,0,5,1,1.0,1,0.101767,Kathryn Najimy,2.4
hybrid,0.7,17,what is the channel number for cartoon network on spectrum,769,1,1,5,1,1.0,1,0.100479,769,2.1
hybrid,0.7,18,when are the fa cup semi finals played,Old Trafford Stadium,0,0,5,1,1.0,1,0.097627,in April,2.1
hybrid,0.7,19,when did the ipod touch 6 gen came out,"March 15, 2016",1,1,5,1,1.0,1,0.113463,"March 15, 2016",2.7
hybrid,0.9,0,where did they film hot tub time machine,Banff National Park,1,1,5,1,1.0,1,0.091703,Banff National Park,2.3
hybrid,0.9,1,who has the right of way in international waters,Both vessels,0,0,5,1,1.0,1,0.064388,"Boat has the right of way in international waters, unless there is a specific vessel required by international maritime law to give way to another due to a risk of collision.",4.6
hybrid,0.9,2,who does annie work for attack on titan,Shireesha,1,1,5,1,1.0,1,0.077628,Shireesha,2.2
hybrid,0.9,3,when was the immigration reform and control act passed,"February 6, 1986",1,1,5,1,1.0,1,0.06788,"February 6, 1986",2.7
hybrid,0.9,4,when was puerto rico added to the usa,1898,1,1,5,1,1.0,1,0.111442,1898,2.2
hybrid,0.9,5,who has been chosen for best supporting actress in 64 national filmfare award,Reena Shamshukha,1,1,5,1,1.0,1,0.09597,Reena Shamshukhin,2.4
hybrid,0.9,6,which side of the white house is the front,South,1,1,5,1,1.0,1,0.085918,South,2.0
hybrid,0.9,7,names of the metropolitan municipalities in south africa,Tshwane Metropolitan Municipality,0,0,5,1,1.0,1,0.083758,Tshivenḓa Metropoli󠁬tan Municipality,3.1
hybrid,0.9,8,who's hosting the super bowl in 2019,"Orlando, Florida",1,1,5,1,1.0,1,0.092133,"Orlando, Florida",2.3
hybrid,0.9,9,in which year vivo launch its first phone in india,2012,1,1,5,1,1.0,1,0.087244,2012,2.2
hybrid,0.9,10,where does it talk about mary magdalene in the bible,Old Testament,1,1,5,1,1.0,1,0.117199,The Old Testament does not contain any references to Mary Magdalene.,3.0
hybrid,0.9,11,who carries the nuclear football for the president,bodyguard,1,1,5,1,1.0,1,0.05612,the bodyguard,2.6
hybrid,0.9,12,what is the origin of the name cynthia,Roman,1,1,5,1,1.0,1,0.074236,Roman,2.3
hybrid,0.9,13,who is the guy who voiced disney channel,Jesse Stone,1,1,5,1,1.0,1,0.082366,Jesse Stone,2.2
hybrid,0.9,14,what's the legal marriage age in new york,16,1,1,5,1,1.0,1,0.128404,16,2.1
hybrid,0.9,15,when do the red hot chili peppers tour,March 2019,1,1,5,1,1.0,1,0.078465,March 2019,2.7
hybrid,0.9,16,who plays mavis in the movie hotel transylvania,Kathy Najimy,1,1,5,1,1.0,1,0.101767,Kathy Najarmy,2.4
hybrid,0.9,17,what is the channel number for cartoon network on spectrum,769,1,1,5,1,1.0,1,0.100479,769,2.2
hybrid,0.9,18,when are the fa cup semi finals played,Old Trafford Stadium,0,0,5,1,1.0,1,0.097627,usually falling in early April of each year,2.6
hybrid,0.9,19,when did the ipod touch 6 gen came out,"March 15, 2016",1,1,5,1,1.0,1,0.113463,"March 15, 2016",2.7
